grid_id,gx,gy,cell_lon,cell_lat,mean_visits_2024,std_visits_2024,total_visits_2024,visits_2024
3055_46754,3055,46754,-83.35551568143521,42.207038837488014,29806.867924528302,3070.6581866982856,1579764.0,1579764.0
3188_47014,3188,47014,-83.20267356214632,42.444220625103654,27059.867924528302,3617.9773356703045,1434173.0,1434173.0
3054_46753,3054,46753,-83.35669259718703,42.206114092368274,26781.490566037737,3507.048657724448,1419419.0,1419419.0
3303_47014,3303,47014,-83.06293162017822,42.44682191607947,25864.622641509435,5050.218146704029,1370825.0,1370825.0
3318_46891,3318,46891,-83.04111148000825,42.33644479175906,25777.037735849055,2995.929219018443,1366183.0,1366183.0
3106_46960,3106,46960,-83.30052620018385,42.393668696702974,24643.905660377357,2109.7210873885047,1306127.0,1306127.0
3318_46883,3318,46883,-83.04087858060747,42.32924445706887,24339.094339622643,7120.105466847003,1289972.0,1289972.0
3240_46979,3240,46979,-83.13841675431966,42.413918983798695,23627.245283018867,12364.586934949008,1252244.0,1252244.0
3295_46894,3295,46894,-83.0691013472721,42.338644601985784,23620.45283018868,5992.680924500265,1251884.0,1251884.0
3235_47014,3235,47014,-83.14556387781552,42.445304330520756,22593.528301886792,5947.184666440598,1197457.0,1197457.0
3256_47013,3256,47013,-83.12001541664408,42.44487937040638,22514.56603773585,3601.663454831036,1193272.0,1193272.0
3172_46989,3172,46989,-83.22131943809983,42.42134721091384,22464.11320754717,8200.902591052936,1190598.0,1190598.0
3344_46898,3344,46898,-83.00977072569178,42.34330254647817,22366.094339622643,4880.298020068542,1185403.0,1185403.0
3312_46887,3312,46887,-83.04827327754647,42.33271479195534,22337.245283018867,3312.1983573910798,1183874.0,1183874.0
3049_46756,3049,46756,-83.36284504986853,42.20868913445591,21451.396226415094,5349.820297950495,1136924.0,1136924.0
3186_46902,3186,46902,-83.20157635310447,42.34338087294615,21375.830188679247,3024.9423180893696,1132919.0,1132919.0
3208_46975,3208,46975,-83.17715651742384,42.40958729105517,21041.54716981132,3537.2264082002653,1115202.0,1115202.0
3415_46968,3415,46968,-82.92554980255592,42.407787579588216,21031.88679245283,2371.902585262832,1114690.0,1114690.0
3311_46889,3311,46889,-83.04954478520432,42.33449318197669,20673.283018867925,3908.215248592928,1095684.0,1095684.0
3176_47014,3176,47014,-83.21725425007567,42.44393937837707,20390.377358490565,1987.778177769256,1080690.0,1080690.0
3052_46754,3052,46754,-83.35914681940064,42.206964176616765,20231.35849056604,2697.33411432746,1072262.0,1072262.0
3288_46928,3288,46928,-83.07860182096607,42.36909158243734,20214.415094339623,7221.703571125453,1071364.0,1071364.0
3316_46883,3316,46883,-83.04330453373566,42.32920123587522,19963.924528301886,7578.435296383669,1058088.0,1058088.0
3289_46886,3289,46886,-83.0761432061539,42.33131279732265,19651.490566037737,4327.709968408894,1041529.0,1041529.0
3308_46893,3308,46893,-83.05330115780666,42.33802818709431,19451.88679245283,7359.32252229674,1030950.0,1030950.0
3222_46975,3222,46975,-83.16015452494631,42.409909072883124,19136.716981132075,3518.9745632078807,1014246.0,1014246.0
3317_46885,3317,46885,-83.04214980923743,42.3310229361496,18504.64150943396,6000.4687272709125,980746.0,980746.0
3313_46887,3313,46887,-83.04706023790148,42.33273646296831,18440.962264150945,4812.233118156441,977371.0,977371.0
